# {"t_start": 1551044220.717452, "env_id": "MyBulletCartPole-v0"} 
r,l,t
64.0,64,24.966085
90.0,90,25.036581
134.0,134,25.142383
39.0,39,25.175845
19.0,19,25.190417
59.0,59,25.237832
72.0,72,25.295941
26.0,26,25.316218
61.0,61,25.366687
60.0,60,25.567026
41.0,41,25.603107
61.0,61,25.651421
81.0,81,25.714989
90.0,90,25.784544
57.0,57,25.829648
122.0,122,25.925073
47.0,47,25.962342
66.0,66,26.014833
64.0,64,26.062223
45.0,45,26.099137
49.0,49,26.137272
73.0,73,26.192283
44.0,44,26.226044
54.0,54,26.270131
33.0,33,26.295703
95.0,95,26.370738
59.0,59,26.41777
81.0,81,26.480333
53.0,53,26.523137
53.0,53,26.565647
75.0,75,26.624035
90.0,90,26.695955
40.0,40,26.729015
39.0,39,26.760771
90.0,90,26.831345
54.0,54,26.874419
56.0,56,26.91872
45.0,45,26.954563
51.0,51,26.994747
66.0,66,27.047401
77.0,77,27.107558
90.0,90,27.178134
64.0,64,27.402818
52.0,52,27.443548
82.0,82,27.508046
54.0,54,27.550915
60.0,60,27.598855
82.0,82,27.662014
62.0,62,27.71087
64.0,64,27.762047
45.0,45,27.796353
99.0,99,27.87348
108.0,108,27.958617
118.0,118,28.050422
86.0,86,28.118272
77.0,77,28.179302
49.0,49,28.2183
73.0,73,28.276256
79.0,79,28.338645
55.0,55,28.381493
83.0,83,28.444722
76.0,76,28.505234
99.0,99,28.582018
36.0,36,28.609202
28.0,28,28.632761
83.0,83,28.697597
59.0,59,28.744729
42.0,42,28.776895
152.0,152,28.895703
58.0,58,28.942339
79.0,79,29.160641
67.0,67,29.212917
136.0,136,29.316587
50.0,50,29.355788
42.0,42,29.388956
91.0,91,29.458953
81.0,81,29.52194
136.0,136,29.62882
102.0,102,29.709923
57.0,57,29.754517
160.0,160,29.88016
78.0,78,29.941365
16.0,16,29.954072
67.0,67,30.006404
73.0,73,30.062043
82.0,82,30.124873
63.0,63,30.174881
47.0,47,30.212978
52.0,52,30.253745
61.0,61,30.300079
48.0,48,30.338542
62.0,62,30.386998
72.0,72,30.442655
60.0,60,30.490117
54.0,54,30.53208
48.0,48,30.571103
108.0,108,30.656721
55.0,55,30.701288
110.0,110,30.942924
90.0,90,31.012127
74.0,74,31.071079
55.0,55,31.114135
86.0,86,31.182563
168.0,168,31.313616
49.0,49,31.352657
109.0,109,31.437032
36.0,36,31.465609
53.0,53,31.506523
175.0,175,31.640764
141.0,141,31.749934
