approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.0019179715,0.019866943,200.0,200.0,-0.001840829849243164,4816,318,0.39299822,-0.00052802806,651264,553.0991287231445,2605056,89.62624
5.61975e-05,0.0,200.0,200.0,0.010912477970123291,4817,319,0.38853982,4.0647385e-05,653312,554.8002350330353,2613248,88.322495
0.0001827378,0.00039672852,200.0,200.0,0.020299017429351807,4801,320,0.37965032,-0.0004262274,655360,556.506963968277,2621440,85.79944
0.0007011099,0.0010986328,200.0,200.0,0.005966365337371826,4793,321,0.3669044,-0.0004372099,657408,558.2164537906647,2629632,90.36833
0.0007516345,0.004119873,200.0,200.0,-0.001303553581237793,4806,322,0.37910125,4.265408e-05,659456,559.9213790893555,2637824,87.69783
0.0017344032,0.02243042,200.0,200.0,0.0033849477767944336,4798,323,0.37995818,-0.00055191404,661504,561.6289498806,2646016,89.043144
0.00067819294,0.0007019043,200.0,200.0,-0.0004888772964477539,4808,324,0.3801179,-2.8819588e-05,663552,563.3329999446869,2654208,89.0736
0.00047032489,0.0013427734,200.0,200.0,-0.0025968551635742188,4808,325,0.3857529,-0.00036328868,665600,565.0372788906097,2662400,90.28716
0.0012366079,0.0039367676,200.0,200.0,-0.002238154411315918,4736,326,0.38934326,-0.0005543117,667648,566.7671248912811,2670592,89.49585
8.389905e-05,0.0,200.0,200.0,-0.0005445480346679688,4771,327,0.38461077,-7.821794e-05,669696,568.4846479892731,2678784,89.460594
0.00032232274,0.0,200.0,200.0,0.013413846492767334,4775,328,0.38542867,-0.00031433516,671744,570.2005047798157,2686976,88.458664
0.000117218406,0.0,200.0,200.0,0.001499950885772705,4783,329,0.38865298,9.590411e-06,673792,571.9135019779205,2695168,89.64461
7.10839e-05,0.0,200.0,200.0,0.00996774435043335,4816,330,0.38798985,-4.732631e-05,675840,573.6146440505981,2703360,88.84357
0.0002764879,0.0,200.0,200.0,0.0071839094161987305,4818,331,0.3856039,-0.00018060359,677888,575.3150599002838,2711552,89.30752
0.0004297325,0.0030822754,200.0,200.0,0.014793217182159424,4794,332,0.3918876,-0.00021516296,679936,577.0241100788116,2719744,88.895424
0.00023993521,0.0009460449,200.0,200.0,0.0024336576461791992,4783,333,0.4029868,-1.5353362e-05,681984,578.7370271682739,2727936,90.14456
0.00040414318,0.0024719238,200.0,200.0,0.006043434143066406,4787,334,0.41460684,-0.0006154477,684032,580.4486110210419,2736128,89.48327
0.00016409054,0.0004272461,200.0,200.0,0.004397332668304443,4818,335,0.41384313,-0.00021896925,686080,582.1492538452148,2744320,89.64599
0.0024528014,0.027008057,200.0,200.0,0.0064032673835754395,4808,336,0.39974508,-0.0005965657,688128,583.8534939289093,2752512,88.988304
0.0015841284,0.014678955,200.0,200.0,0.010997295379638672,4819,337,0.40179557,-0.00046527467,690176,585.5536468029022,2760704,85.97691
0.00022575055,9.1552734e-05,200.0,200.0,0.011038243770599365,4817,338,0.39576077,-0.00013681177,692224,587.254625082016,2768896,89.115555
0.0010402517,0.0022888184,200.0,200.0,0.008032619953155518,4817,339,0.39411712,-0.0005676068,694272,588.955748796463,2777088,88.59899
0.0030929525,0.042297363,200.0,200.0,0.005909740924835205,4821,340,0.38834462,-0.0010822914,696320,590.6554329395294,2785280,89.40959
0.0015006231,0.0071105957,200.0,200.0,-0.008334755897521973,4814,341,0.39079356,-0.0007255403,698368,592.3573429584503,2793472,89.00661
5.9772625e-05,0.0,200.0,200.0,0.005301177501678467,4810,342,0.3843859,1.20388e-06,700416,594.0609080791473,2801664,91.37652
0.00041038214,0.001953125,200.0,200.0,0.0030549168586730957,4822,343,0.37818444,-0.00022601498,702464,595.7601778507233,2809856,89.472855
0.00047557591,0.0018310547,200.0,200.0,0.007657289505004883,4728,344,0.36255702,-0.00020227133,704512,597.4932239055634,2818048,88.45327
0.00011290029,0.0,200.0,200.0,0.020443439483642578,4829,345,0.35480222,-9.634475e-05,706560,599.1898579597473,2826240,85.4489
0.001749879,0.013885498,200.0,200.0,0.006814420223236084,4821,346,0.35640553,-0.0004534459,708608,600.8893020153046,2834432,89.89637
0.00030364038,6.1035156e-05,200.0,200.0,-0.005695462226867676,4827,347,0.35029563,-3.6036407e-05,710656,602.5867869853973,2842624,87.90566
0.0003731314,0.00012207031,200.0,200.0,-0.007848620414733887,4812,348,0.34478706,-0.0003989512,712704,604.289464712143,2850816,89.01064
0.0003652444,0.0,200.0,200.0,0.002286553382873535,4814,349,0.341934,3.3480654e-05,714752,605.9914629459381,2859008,88.56986
5.702452e-05,0.0,200.0,200.0,-0.002529740333557129,4787,350,0.3409815,-0.00011803684,716800,607.7030429840088,2867200,89.54306
0.0007544109,0.0065612793,200.0,200.0,-0.000980377197265625,4803,351,0.32526606,-0.00047479442,718848,609.4088740348816,2875392,88.66506
0.0003794104,0.0008544922,200.0,200.0,-0.004875540733337402,4805,352,0.3110219,-0.00028930063,720896,611.1141450405121,2883584,89.116974
9.312054e-05,0.00021362305,200.0,200.0,-0.00213015079498291,4772,353,0.30883494,-0.0001372404,722944,612.8312797546387,2891776,89.006805
0.0003334969,0.0009460449,200.0,200.0,0.007327377796173096,4806,354,0.31613323,3.1046016e-05,724992,614.5362708568573,2899968,88.83044
0.0004326945,0.0022888184,200.0,200.0,0.0008919835090637207,4824,355,0.31599766,-0.00021464482,727040,616.234689950943,2908160,88.76711
0.0011172108,0.0067749023,200.0,200.0,-0.001145482063293457,4809,356,0.31102088,-0.00052312505,729088,617.9384598731995,2916352,88.765755
7.667962e-05,0.0,200.0,200.0,0.02149951457977295,4812,357,0.31267574,4.8372443e-05,731136,619.6410429477692,2924544,87.0553
0.00014972119,0.00039672852,200.0,200.0,0.006233036518096924,4812,358,0.3115596,-0.00014990369,733184,621.3437879085541,2932736,87.975685
0.00042012427,0.0017089844,200.0,200.0,0.0307924747467041,4821,359,0.29681996,-0.0004535803,735232,623.0432200431824,2940928,86.70343
5.177515e-05,0.0,200.0,200.0,0.012840628623962402,4811,360,0.29392394,-2.793473e-05,737280,624.746111869812,2949120,87.67262
2.4018213e-05,0.0,200.0,200.0,0.046682894229888916,4773,361,0.29821113,9.722189e-05,739328,626.4626288414001,2957312,85.89109
6.3616986e-05,3.0517578e-05,200.0,200.0,0.03922736644744873,4799,362,0.29895517,-0.000133178,741376,628.169842004776,2965504,84.88473
0.00025039664,0.0,200.0,200.0,0.020629703998565674,4769,363,0.30229983,0.00015294015,743424,629.8879780769348,2973696,88.91348
8.554474e-05,0.0,200.0,200.0,0.04027944803237915,4808,364,0.29829764,4.998308e-05,745472,631.5922350883484,2981888,86.98633
3.0075784e-05,0.0,200.0,200.0,0.03896218538284302,4807,365,0.29737234,-4.262595e-05,747520,633.2967188358307,2990080,87.072296
8.771543e-05,0.0,200.0,200.0,0.010860085487365723,4796,366,0.29895228,-9.218085e-05,749568,635.0050177574158,2998272,87.23172
0.00023997441,0.00039672852,200.0,200.0,0.06900542974472046,4801,367,0.29898927,-0.00017122705,751616,636.7115919589996,3006464,87.5043
6.1639366e-05,0.0,200.0,200.0,0.017617106437683105,4802,368,0.30155838,-2.4665118e-05,753664,638.4177458286285,3014656,89.113464
5.7745907e-05,0.0,200.0,200.0,0.03782600164413452,4817,369,0.298964,-1.3167257e-05,755712,640.1186418533325,3022848,88.34863
7.57211e-06,0.0,200.0,200.0,0.02940303087234497,4828,370,0.29605556,-2.728522e-05,757760,641.8157079219818,3031040,86.74579
6.843217e-05,0.0,200.0,200.0,0.043486595153808594,4817,371,0.2944094,-0.00021905525,759808,643.5168299674988,3039232,90.11028
0.00022793452,0.00012207031,200.0,200.0,0.06691879034042358,4802,372,0.29063457,-6.074313e-05,761856,645.2231619358063,3047424,85.451004
0.00012318966,0.0,200.0,200.0,0.030590057373046875,4802,373,0.28392103,-0.0001883743,763904,646.9295427799225,3055616,88.978485
0.00015577438,0.0,200.0,200.0,0.05159193277359009,4801,374,0.28263792,2.8426148e-05,765952,648.6361968517303,3063808,87.834145
