approxkl,clipfrac,dataset_rew,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_num_dones,serial_timesteps,time_elapsed,total_num_dones,total_timesteps,value_loss
0.0015282894,0.0070495605,18873.567313492298,816.32,7360.509,0.017848670482635498,584,56,1.4178888,0.0036149772,1,114688,1919.1720659732819,6,458752,11179.566
0.0041291923,0.054626465,19004.553192138672,851.18,7696.9233,0.026024162769317627,590,57,1.4186401,0.00012661243,1,116736,1933.0356841087341,6,466944,11343.341
0.0047354647,0.0657959,19034.608581870794,872.96,7908.835,0.03431981801986694,662,58,1.4208577,-0.00044158677,1,118784,1945.3944971561432,5,475136,11354.838
0.0026460488,0.031280518,18792.40848994255,874.51,7937.879,0.021964550018310547,470,59,1.4233304,-0.005578235,2,120832,1962.8196501731873,9,483328,10975.326
5.2969404e-05,0.0,18827.873593568802,860.79,7820.6133,0.016613483428955078,539,60,1.4251271,2.9138944e-05,1,122880,1978.0087411403656,7,491520,11056.805
0.0012625237,0.0069885254,18890.126990139484,877.83,7990.043,0.01789999008178711,594,61,1.4255368,-0.002247087,1,124928,1992.4547791481018,6,499712,11164.538
0.0008511772,0.0005187988,18664.471081733704,877.83,7990.043,0.008810997009277344,1402,62,1.4259515,0.0019888384,0,126976,1998.296205997467,0,507904,11013.336
0.002833236,0.030548096,18090.719470739365,877.83,7990.043,0.013700306415557861,1396,63,1.4266448,-0.0041070543,0,129024,2004.1625831127167,0,516096,10364.729
0.0011669713,0.0016479492,18937.448073148727,876.71,7985.4688,0.021060407161712646,545,64,1.4308535,0.0008493572,1,131072,2019.1904921531677,7,524288,11145.561
0.0009758262,0.008087158,18554.064843595028,862.13,7852.5337,0.017997145652770996,435,65,1.432622,-0.0010107488,2,133120,2037.980714082718,10,532480,10638.515
0.0018665306,0.011383057,19292.74906243384,893.39,8162.4404,0.02030634880065918,723,66,1.4345827,0.00051333045,1,135168,2049.302537918091,4,540672,11615.416
0.0003119887,0.0016479492,18864.218324407935,906.31,8280.874,0.003444075584411621,1165,67,1.435723,-0.0010545983,0,137216,2056.3345053195953,1,548864,11175.09
